,Unnamed: 0,Open,High,Low,Close,Volume,Currency,rsi,weekday,middle_bb,lower_bb,upper_bb,macd,pos_directional_indicator,neg_directional_indicator,adx,cci,aroon_down,aroon_up,aroon_indicator,return,ewm_mean_5,ewm_std_5,roll_mean_5,roll_std_5,roll_min_5,roll_max_5,roll_range_5,roll_mean_s_5,roll_std_s_5,roll_min_s_5,roll_max_s_5,roll_range_s_5,roll_min_abs_5,roll_range_sbs_5,roll_q10_5,roll_q25_5,roll_q50_5,roll_q75_5,roll_q90_5,mean_abs_chg5,day,month,year,quarter,is_holiday,shifted_change,return_class
0,0,30.48,30.64,30.34,30.56,123432176,USD,75.4,0,28.58,26.28,30.88,0.56,33.7,15.62,21.3,116.3,28,100,72.0,-0.000978,-0.0009784698486328123,0.0,-0.0009784698486328123,0.0,-0.0009784698486328123,-0.0009784698486328123,0.0,-0.006629180908203125,0.009177662335622696,-0.0159912109375,0.00798797607421875,0.02397918701171875,0.0159912109375,-0.016969680786132812,-0.01424407958984375,-0.011129379272460938,-0.006322860717773438,-0.002138614654541016,0.003504753112792969,0.0,4,1,2010,1,0,,1
1,1,30.66,30.8,30.45,30.62,150476160,USD,74.06,1,28.73,26.31,31.14,0.6123,34.25,14.97,22.58,107.56,24,100,76.0,-0.01599,-0.009986114501953124,0.010615611028135902,-0.008484840393066406,0.010615611028135902,-0.0159912109375,-0.0009784698486328123,0.015012741088867188,-0.000804901123046875,0.010840800496571143,-0.0124969482421875,0.01313018798828125,0.02562713623046875,0.0159912109375,-0.02011299133300781,-0.0138946533203125,-0.009761810302734377,-0.005619049072265625,0.003504753112792969,0.010044860839843751,0.0,5,1,2010,1,0,-0.000978,1
2,2,30.62,30.75,30.11,30.14,138039728,USD,72.8,2,28.89,26.53,31.23,0.607,31.56,18.06,22.9,82.3,20,96,76.0,-0.00562,-0.007917504561574834,0.007252903427735027,-0.0075295766194661455,0.007686558747697133,-0.0159912109375,-0.0009784698486328123,0.015012741088867188,-0.000347137451171875,0.01063303052743854,-0.0124969482421875,0.01313018798828125,0.02562713623046875,0.0159912109375,-0.04464912414550781,-0.01354522705078125,-0.008394241333007812,-0.004474639892578125,0.001263141632080078,0.0095306396484375,0.0,6,1,2010,1,0,-0.01599,1
3,3,30.25,30.3,29.86,30.08,119282440,USD,71.4,3,29.03,26.78,31.28,0.5913,29.88,20.2,22.64,61.8,16,92,76.0,0.00799,-0.00131061260516827,0.010735833887274188,-0.003650188446044922,0.009979348708951638,-0.0159912109375,0.00798797607421875,0.02397918701171875,-0.00261077880859375,0.009566212935921508,-0.0124969482421875,0.01313018798828125,0.02562713623046875,0.0159912109375,-0.03568267822265625,-0.01319580078125,-0.00702667236328125,-0.003330230712890625,-0.0009784698486328123,0.009016418457031251,0.0,7,1,2010,1,0,-0.00562,3
4,4,30.05,30.3,29.88,30.28,111969192,USD,79.0,4,29.14,26.84,31.42,0.588,28.28,19.14,22.4,59.62,12,88,76.0,-0.0125,-0.005604893110374704,0.010364011197737869,-0.0054195404052734385,0.009504924106444509,-0.0159912109375,0.00798797607421875,0.02397918701171875,0.00634002685546875,0.016458252844978028,-0.00702667236328125,0.032257080078125,0.03928375244140625,0.0159912109375,-0.03568267822265625,-0.01284637451171875,-0.006674766540527344,-0.003330230712890625,0.005746364593505859,0.015042877197265618,0.0,8,1,2010,1,0,0.00799,1
5,5,30.4,30.44,29.78,30.02,115557480,USD,72.3,0,29.23,26.97,31.5,0.5579999999999999,27.73,17.58,22.4,50.16,8,84,76.0,-0.007026999999999999,-0.006124430491511983,0.008172760506706232,-0.006629180908203125,0.009177662335622696,-0.0159912109375,0.00798797607421875,0.02397918701171875,0.00481414794921875,0.01826213377051319,-0.01465606689453125,0.032257080078125,0.04691314697265625,0.0159912109375,-0.03568267822265625,-0.014789581298828125,-0.011129379272460938,-0.004474639892578125,0.005158424377441406,0.015042877197265618,0.0,11,1,2010,1,0,-0.0125,1
6,6,29.88,29.97,29.48,29.67,148614928,USD,64.5,1,29.33,27.17,31.48,0.5005,25.88,20.06,21.72,24.02,4,80,76.0,0.013130000000000001,0.0006927705146896997,0.012319581211403028,-0.000804901123046875,0.010840800496571143,-0.0124969482421875,0.01313018798828125,0.02562713623046875,-0.0016387939453125,0.020187880458617663,-0.019134521484375,0.032257080078125,0.0513916015625,0.019134521484375,-0.03054046630859375,-0.015103912353515625,-0.011129379272460938,-0.004474639892578125,0.005158424377441406,0.015042877197265618,0.0,12,1,2010,1,0,-0.007026999999999999,3
7,7,29.7,30.12,29.16,30.1,151472480,USD,65.44,2,29.42,27.31,31.55,0.483,22.88,21.69,20.36,24.48,4,76,72.0,-0.0033299999999999996,-0.0007026781268199227,0.010134821377430764,-0.000347137451171875,0.01063303052743854,-0.0124969482421875,0.01313018798828125,0.02562713623046875,-0.009706878662109376,0.02769724011942899,-0.043670654296875,0.032257080078125,0.075927734375,0.043670654296875,-0.03176116943359375,-0.021588134765625,-0.014116287231445312,-0.005178451538085938,0.005158424377441406,0.015042877197265618,0.0,13,1,2010,1,0,0.013130000000000001,1
8,8,30.02,30.06,29.86,29.92,108288520,USD,61.2,3,29.53,27.56,31.5,0.4502,22.2,21.05,19.1,29.52,28,72,44.0,-0.0033299999999999996,-0.001601920342521236,0.008309948542660131,-0.00261077880859375,0.009566212935921508,-0.0124969482421875,0.01313018798828125,0.02562713623046875,-0.008487701416015625,0.028178089648437224,-0.043670654296875,0.032257080078125,0.075927734375,0.043670654296875,-0.03176116943359375,-0.021588134765625,-0.014116287231445312,-0.005178451538085938,0.0012416839599609375,0.015042877197265618,0.0,14,1,2010,1,0,-0.0033299999999999996,1
9,9,30.12,30.23,29.4,29.42,148584208,USD,44.75,4,29.61,27.81,31.42,0.3796,20.0,24.42,18.44,6.093999999999999,24,68,44.0,0.032260000000000004,0.009883589442564155,0.01922226081380022,0.00634002685546875,0.016458252844978028,-0.00702667236328125,0.032257080078125,0.03928375244140625,-0.014939117431640624,0.01857295721089076,-0.043670654296875,0.002765655517578125,0.046436309814453125,0.043670654296875,-0.01263427734375,-0.021588134765625,-0.01274871826171875,-0.003330230712890625,0.0020742416381835933,0.015042877197265618,0.0,15,1,2010,1,0,-0.0033299999999999996,3
