Close,close_yesterday,close_tomorrow,n_roll_mean_5,n_roll_mean_30,n_roll_max_5,n_roll_max_30,n_roll_min_5,n_roll_min_30,n_roll_mean_3,n_roll_max_3,n_roll_min_3
15.22,15.66,15.19,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66
15.19,15.22,15.72,15.440000000000001,15.440000000000001,15.66,15.66,15.22,15.22,15.440000000000001,15.66,15.22
15.72,15.19,15.89,15.356666666666667,15.356666666666667,15.66,15.66,15.19,15.19,15.356666666666667,15.66,15.19
15.89,15.72,15.78,15.4475,15.4475,15.72,15.72,15.19,15.19,15.376666666666665,15.72,15.19
15.78,15.89,15.55,15.536000000000001,15.536000000000001,15.89,15.89,15.19,15.19,15.6,15.89,15.19
15.55,15.78,15.24,15.560000000000002,15.576666666666668,15.89,15.89,15.19,15.19,15.796666666666667,15.89,15.72
15.24,15.55,15.1,15.626000000000001,15.572857142857144,15.89,15.89,15.19,15.19,15.74,15.89,15.55
15.1,15.24,15.44,15.636000000000001,15.53125,15.89,15.89,15.24,15.19,15.523333333333333,15.78,15.24
15.44,15.1,15.1,15.512,15.483333333333333,15.89,15.89,15.1,15.1,15.296666666666667,15.55,15.1
15.1,15.44,14.8,15.422,15.479,15.78,15.89,15.1,15.1,15.26,15.44,15.1
14.8,15.1,14.35,15.285999999999998,15.444545454545453,15.55,15.89,15.1,15.1,15.213333333333333,15.44,15.1
14.35,14.8,13.96,15.136,15.390833333333333,15.44,15.89,14.8,14.8,15.113333333333332,15.44,14.8
13.96,14.35,13.43,14.957999999999998,15.31076923076923,15.44,15.89,14.35,14.35,14.75,15.1,14.35
13.43,13.96,13.26,14.73,15.214285714285714,15.44,15.89,13.96,13.96,14.37,14.8,13.96
13.26,13.43,13.29,14.328000000000003,15.095333333333334,15.1,15.89,13.43,13.43,13.913333333333332,14.35,13.43
13.29,13.26,13.79,13.960000000000004,14.980625,14.8,15.89,13.26,13.26,13.549999999999997,13.96,13.26
13.79,13.29,14.27,13.658000000000007,14.881176470588235,14.35,15.89,13.26,13.26,13.326666666666663,13.43,13.26
14.27,13.79,14.57,13.54600000000001,14.820555555555554,13.96,15.89,13.26,13.26,13.446666666666664,13.79,13.26
14.57,14.27,14.71,13.60800000000001,14.79157894736842,14.27,15.89,13.26,13.26,13.78333333333333,14.27,13.29
14.71,14.57,14.8,13.836000000000007,14.780499999999998,14.57,15.89,13.26,13.26,14.209999999999996,14.57,13.79
14.8,14.71,14.88,14.126000000000008,14.777142857142854,14.71,15.89,13.29,13.26,14.516666666666664,14.71,14.27
14.88,14.8,15.41,14.428000000000008,14.778181818181816,14.8,15.89,13.79,13.26,14.693333333333333,14.8,14.57
15.41,14.88,15.13,14.64600000000001,14.782608695652172,14.88,15.89,14.27,13.26,14.796666666666667,14.88,14.71
15.13,15.41,15.27,14.87400000000001,14.808749999999998,15.41,15.89,14.57,13.26,15.03,15.41,14.8
15.27,15.13,16.14,14.986000000000008,14.821599999999998,15.41,15.89,14.71,13.26,15.14,15.41,14.88
16.14,15.27,15.72,15.098000000000008,14.838846153846152,15.41,15.89,14.8,13.26,15.269999999999998,15.41,15.13
15.72,16.14,15.22,15.366000000000009,14.887037037037034,16.14,16.14,14.88,13.26,15.51333333333333,16.14,15.13
15.22,15.72,15.69,15.53400000000001,14.916785714285712,16.14,16.14,15.13,13.26,15.709999999999996,16.14,15.27
15.69,15.22,15.72,15.49600000000001,14.927241379310344,16.14,16.14,15.13,13.26,15.693333333333328,16.14,15.22
15.72,15.69,15.52,15.60800000000001,14.952666666666666,16.14,16.14,15.22,13.26,15.543333333333328,15.72,15.22
15.52,15.72,15.33,15.698000000000011,14.954666666666666,16.14,16.14,15.22,13.26,15.543333333333328,15.72,15.22
15.33,15.52,14.6,15.574000000000009,14.964666666666664,15.72,16.14,15.22,13.26,15.643333333333326,15.72,15.52
14.6,15.33,14.94,15.49600000000001,14.969333333333331,15.72,16.14,15.22,13.26,15.523333333333326,15.72,15.33
14.94,14.6,14.38,15.372000000000009,14.931999999999997,15.72,16.14,14.6,13.26,15.149999999999993,15.52,14.6
14.38,14.94,14.21,15.222000000000008,14.90033333333333,15.72,16.14,14.6,13.26,14.956666666666658,15.33,14.6
14.21,14.38,14.35,14.954000000000008,14.853666666666665,15.52,16.14,14.38,13.26,14.639999999999993,14.94,14.38
14.35,14.21,14.82,14.69200000000001,14.808999999999997,15.33,16.14,14.21,13.26,14.509999999999993,14.94,14.21
14.82,14.35,14.77,14.49600000000001,14.779333333333332,14.94,16.14,14.21,13.26,14.313333333333327,14.38,14.21
14.77,14.82,15.13,14.54000000000001,14.769999999999998,14.94,16.14,14.21,13.26,14.459999999999994,14.82,14.21
15.13,14.77,14.99,14.506000000000009,14.747666666666664,14.82,16.14,14.21,13.26,14.64666666666666,14.82,14.35
14.99,15.13,14.52,14.65600000000001,14.748666666666661,15.13,16.14,14.21,13.26,14.90666666666666,15.13,14.77
14.52,14.99,13.99,14.812000000000006,14.754999999999995,15.13,16.14,14.35,13.26,14.963333333333326,15.13,14.77
13.99,14.52,13.26,14.846000000000007,14.76066666666666,15.13,16.14,14.52,13.26,14.879999999999995,15.13,14.52
13.26,13.99,13.87,14.680000000000007,14.761666666666661,15.13,16.14,13.99,13.26,14.499999999999995,14.99,13.99
13.87,13.26,13.99,14.378000000000009,14.755999999999995,15.13,16.14,13.26,13.26,13.923333333333327,14.52,13.26
13.99,13.87,13.85,14.12600000000001,14.776333333333328,14.99,16.14,13.26,13.26,13.706666666666658,13.99,13.26
13.85,13.99,13.68,13.92600000000001,14.799666666666662,14.52,16.14,13.26,13.26,13.706666666666658,13.99,13.26
13.68,13.85,13.93,13.79200000000001,14.80166666666666,13.99,16.14,13.26,13.26,13.903333333333327,13.99,13.85
13.93,13.68,14.55,13.73000000000001,14.781999999999995,13.99,16.14,13.26,13.26,13.839999999999995,13.99,13.68
14.55,13.93,15.44,13.864000000000008,14.760666666666662,13.99,16.14,13.68,13.26,13.819999999999993,13.93,13.68
15.44,14.55,14.99,14.000000000000005,14.755333333333331,14.55,16.14,13.68,13.26,14.053333333333326,14.55,13.68
14.99,15.44,15.16,14.290000000000006,14.776666666666664,15.44,16.14,13.68,13.26,14.639999999999992,15.44,13.93
15.16,14.99,15.08,14.518000000000006,14.78033333333333,15.44,16.14,13.68,13.26,14.993333333333325,15.44,14.55
15.08,15.16,15.36,14.814000000000004,14.771999999999997,15.44,16.14,13.93,13.26,15.196666666666658,15.44,14.99
15.36,15.08,15.13,15.044000000000006,14.77033333333333,15.44,16.14,14.55,13.26,15.076666666666659,15.16,14.99
15.13,15.36,15.05,15.206000000000007,14.773333333333332,15.44,16.14,14.99,13.26,15.19999999999999,15.36,15.08
15.05,15.13,14.88,15.144000000000005,14.739666666666665,15.36,15.72,14.99,13.26,15.189999999999992,15.36,15.08
14.88,15.05,15.16,15.156000000000006,14.71733333333333,15.36,15.72,15.05,13.26,15.179999999999993,15.36,15.05
15.16,14.88,15.61,15.100000000000005,14.705999999999996,15.36,15.72,14.88,13.26,15.019999999999994,15.13,14.88
15.61,15.16,15.89,15.116000000000005,14.68833333333333,15.36,15.72,14.88,13.26,15.029999999999994,15.16,14.88
15.89,15.61,15.75,15.166000000000006,14.684666666666663,15.61,15.61,14.88,13.26,15.21666666666666,15.61,14.88
15.75,15.89,16.56,15.318000000000007,14.696999999999997,15.89,15.89,14.88,13.26,15.553333333333326,15.89,15.16
16.56,15.75,17.66,15.458000000000007,14.710999999999997,15.89,15.89,14.88,13.26,15.749999999999991,15.89,15.61
17.66,16.56,16.61,15.794000000000008,14.77633333333333,16.56,16.56,15.16,13.26,16.06666666666666,16.56,15.75
16.61,17.66,16.92,16.294000000000008,14.866999999999997,17.66,17.66,15.61,13.26,16.656666666666656,17.66,15.75
16.92,16.61,16.39,16.494000000000007,14.941333333333331,17.66,17.66,15.75,13.26,16.943333333333324,17.66,16.56
16.39,16.92,16.6,16.70000000000001,15.031666666666666,17.66,17.66,15.75,13.26,17.063333333333322,17.66,16.61
16.6,16.39,17.03,16.82800000000001,15.099666666666666,17.66,17.66,16.39,13.26,16.63999999999999,16.92,16.39
17.03,16.6,17.73,16.836000000000006,15.158999999999999,17.66,17.66,16.39,13.26,16.63666666666666,16.92,16.39
17.73,17.03,17.55,16.710000000000008,15.234333333333332,17.03,17.66,16.39,13.26,16.67333333333333,17.03,16.39
17.55,17.73,16.48,16.934000000000008,15.321,17.73,17.73,16.39,13.26,17.119999999999994,17.73,16.6
16.48,17.55,16.88,17.06000000000001,15.406333333333333,17.73,17.73,16.39,13.26,17.43666666666666,17.73,17.03
16.88,16.48,17.1,17.07800000000001,15.471666666666668,17.73,17.73,16.48,13.26,17.253333333333327,17.73,16.48
17.1,16.88,17.17,17.134000000000007,15.568000000000001,17.73,17.73,16.48,13.26,16.969999999999988,17.55,16.48
17.17,17.1,17.56,17.148000000000007,15.696000000000002,17.73,17.73,16.48,13.68,16.81999999999999,17.1,16.48
17.56,17.17,17.94,17.03600000000001,15.806000000000003,17.55,17.73,16.48,13.68,17.049999999999986,17.17,16.88
17.94,17.56,17.8,17.038000000000007,15.925000000000002,17.56,17.73,16.48,13.68,17.276666666666657,17.56,17.1
17.8,17.94,17.45,17.330000000000005,16.061333333333334,17.94,17.94,16.88,13.68,17.556666666666654,17.94,17.17
17.45,17.8,17.45,17.514000000000006,16.198666666666668,17.94,17.94,17.1,13.93,17.766666666666655,17.94,17.56
17.45,17.45,17.2,17.58400000000001,16.316,17.94,17.94,17.17,14.55,17.72999999999999,17.94,17.45
17.2,17.45,17.03,17.640000000000008,16.412666666666667,17.94,17.94,17.45,14.88,17.56666666666666,17.8,17.45
17.03,17.2,17.1,17.56800000000001,16.471333333333334,17.94,17.94,17.2,14.88,17.36666666666666,17.45,17.2
17.1,17.03,16.84,17.38600000000001,16.53933333333333,17.8,17.94,17.03,14.88,17.22666666666666,17.45,17.03
16.84,17.1,16.67,17.246000000000013,16.604,17.45,17.94,17.03,14.88,17.10999999999999,17.2,17.03
16.67,16.84,16.98,17.124000000000013,16.662666666666663,17.45,17.94,16.84,14.88,16.98999999999999,17.1,16.84
16.98,16.67,17.38,16.96800000000001,16.70633333333333,17.2,17.94,16.67,14.88,16.86999999999999,17.1,16.67
17.38,16.98,17.45,16.924000000000014,16.767999999999997,17.1,17.94,16.67,14.88,16.82999999999999,16.98,16.67
17.45,17.38,17.27,16.99400000000001,16.845666666666666,17.38,17.94,16.67,14.88,17.00999999999999,17.38,16.67
17.27,17.45,16.92,17.06400000000001,16.93133333333333,17.45,17.94,16.67,15.16,17.269999999999992,17.45,16.98
16.92,17.27,16.56,17.15000000000001,17.00166666666666,17.45,17.94,16.67,15.61,17.366666666666656,17.45,17.27
16.56,16.92,17.44,17.20000000000001,17.04533333333333,17.45,17.94,16.92,15.75,17.213333333333324,17.45,16.92
17.44,16.56,17.3,17.116000000000007,17.06766666666666,17.45,17.94,16.56,15.75,16.916666666666657,17.27,16.56
17.3,17.44,17.27,17.128000000000007,17.124,17.45,17.94,16.56,16.39,16.973333333333326,17.44,16.56
17.27,17.3,18.16,17.098000000000006,17.148666666666664,17.44,17.94,16.56,16.39,17.09999999999999,17.44,16.56
18.16,17.27,18.6,17.098000000000006,17.135666666666665,17.44,17.94,16.56,16.39,17.336666666666655,17.44,17.27
18.6,18.16,19.12,17.346000000000007,17.18733333333333,18.16,18.16,16.56,16.39,17.576666666666654,18.16,17.27
19.12,18.6,19.12,17.75400000000001,17.243333333333332,18.6,18.6,17.27,16.39,18.009999999999987,18.6,17.27
19.12,19.12,19.45,18.09000000000001,17.334333333333333,19.12,19.12,17.27,16.48,18.626666666666654,19.12,18.16
19.45,19.12,19.12,18.45400000000001,17.418333333333333,19.12,19.12,17.27,16.48,18.94666666666666,19.12,18.6
19.12,19.45,18.66,18.89000000000001,17.499000000000002,19.45,19.45,18.16,16.48,19.229999999999993,19.45,19.12
18.66,19.12,18.4,19.082000000000015,17.545333333333335,19.45,19.45,18.6,16.48,19.22999999999999,19.45,19.12
18.4,18.66,18.2,19.094000000000012,17.582333333333334,19.45,19.45,18.66,16.48,19.076666666666654,19.45,18.66
18.2,18.4,18.3,18.95000000000001,17.646333333333335,19.45,19.45,18.4,16.56,18.726666666666656,19.12,18.4
18.3,18.2,17.52,18.766000000000012,17.690333333333335,19.45,19.45,18.2,16.56,18.419999999999987,18.66,18.2
17.52,18.3,17.8,18.53600000000001,17.73033333333333,19.12,19.45,18.2,16.56,18.299999999999986,18.4,18.2
17.8,17.52,17.98,18.216000000000008,17.742,18.66,19.45,17.52,16.56,18.006666666666653,18.3,17.52
17.98,17.8,17.98,18.044000000000008,17.75,18.4,19.45,17.52,16.56,17.87333333333332,18.3,17.52
17.98,17.98,18.19,17.960000000000008,17.75133333333333,18.3,19.45,17.52,16.56,17.766666666666655,17.98,17.52
18.19,17.98,18.27,17.916000000000007,17.757333333333335,18.3,19.45,17.52,16.56,17.91999999999999,17.98,17.8
18.27,18.19,18.05,17.89400000000001,17.782,18.19,19.45,17.52,16.56,18.049999999999994,18.19,17.98
18.05,18.27,18.38,18.044000000000008,17.80933333333333,18.27,19.45,17.8,16.56,18.146666666666658,18.27,17.98
18.38,18.05,18.8,18.09400000000001,17.837666666666664,18.27,19.45,17.98,16.56,18.169999999999987,18.27,18.05
18.8,18.38,19.19,18.174000000000007,17.882666666666662,18.38,19.45,17.98,16.56,18.23333333333332,18.38,18.05
19.19,18.8,18.98,18.338000000000005,17.939333333333327,18.8,19.45,18.05,16.56,18.409999999999986,18.8,18.05
18.98,19.19,19.05,18.538000000000004,18.017666666666663,19.19,19.45,18.05,16.56,18.78999999999999,19.19,18.38
19.05,18.98,18.7,18.680000000000007,18.094666666666665,19.19,19.45,18.05,16.56,18.98999999999999,19.19,18.8
18.7,19.05,18.6,18.880000000000006,18.16366666666666,19.19,19.45,18.38,16.56,19.073333333333323,19.19,18.98
18.6,18.7,18.27,18.94400000000001,18.207666666666665,19.19,19.45,18.7,16.56,18.909999999999993,19.05,18.7
18.27,18.6,18.1,18.90400000000001,18.245999999999995,19.19,19.45,18.6,16.56,18.783333333333328,19.05,18.6
18.1,18.27,18.38,18.72000000000001,18.27933333333333,19.05,19.45,18.27,16.56,18.523333333333326,18.7,18.27
18.38,18.1,18.6,18.544000000000008,18.318666666666665,19.05,19.45,18.1,16.56,18.323333333333327,18.6,18.1
18.6,18.38,19.05,18.410000000000007,18.37933333333333,18.7,19.45,18.1,17.27,18.249999999999993,18.38,18.1
19.05,18.6,18.73,18.390000000000008,18.418,18.6,19.45,18.1,17.27,18.359999999999996,18.6,18.1
18.73,19.05,19.94,18.480000000000008,18.476333333333333,19.05,19.45,18.1,17.27,18.67666666666666,19.05,18.38
19.94,18.73,19.83,18.57200000000001,18.525,19.05,19.45,18.1,17.52,18.793333333333326,19.05,18.6
19.83,19.94,19.94,18.94000000000001,18.584333333333337,19.94,19.94,18.38,17.52,19.23999999999999,19.94,18.73
19.94,19.83,19.61,19.23000000000001,18.625333333333337,19.94,19.94,18.6,17.52,19.499999999999996,19.94,18.73
19.61,19.94,19.38,19.498000000000008,18.652666666666672,19.94,19.94,18.73,17.52,19.903333333333325,19.94,19.83
19.38,19.61,19.23,19.610000000000007,18.669000000000004,19.94,19.94,18.73,17.52,19.793333333333326,19.94,19.61
19.23,19.38,19.23,19.740000000000006,18.66666666666667,19.94,19.94,19.38,17.52,19.643333333333327,19.94,19.38
19.23,19.23,19.83,19.598000000000006,18.67033333333334,19.94,19.94,19.23,17.52,19.406666666666663,19.61,19.23
19.83,19.23,19.52,19.47800000000001,18.68933333333334,19.94,19.94,19.23,17.52,19.279999999999998,19.38,19.23
19.52,19.83,19.02,19.45600000000001,18.73700000000001,19.83,19.94,19.23,17.52,19.429999999999996,19.83,19.23
19.02,19.52,19.02,19.43800000000001,18.781000000000006,19.83,19.94,19.23,17.52,19.52666666666666,19.83,19.23
19.02,19.02,18.77,19.366000000000007,18.805000000000007,19.83,19.94,19.02,17.52,19.45666666666666,19.83,19.02
18.77,19.02,18.4,19.324000000000005,18.855000000000008,19.83,19.94,19.02,17.8,19.186666666666657,19.52,19.02
18.4,18.77,18.4,19.232000000000006,18.88733333333334,19.83,19.94,18.77,17.98,18.936666666666657,19.02,18.77
18.4,18.4,18.06,18.946000000000005,18.90133333333334,19.52,19.94,18.4,17.98,18.729999999999993,19.02,18.4
18.06,18.4,18.23,18.722000000000005,18.91533333333334,19.02,19.94,18.4,18.05,18.523333333333326,18.77,18.4
18.23,18.06,17.8,18.53000000000001,18.911,19.02,19.94,18.06,18.05,18.28666666666666,18.4,18.06
17.8,18.23,17.84,18.372000000000007,18.90966666666667,18.77,19.94,18.06,18.05,18.229999999999997,18.4,18.06
17.84,17.8,17.9,18.178000000000008,18.901333333333337,18.4,19.94,17.8,17.8,18.029999999999998,18.23,17.8
17.9,17.84,18.56,18.06600000000001,18.883333333333336,18.4,19.94,17.8,17.8,17.956666666666663,18.23,17.8
18.56,17.9,18.56,17.966000000000008,18.85333333333334,18.23,19.94,17.8,17.8,17.84666666666666,17.9,17.8
18.56,18.56,18.88,18.06600000000001,18.832333333333334,18.56,19.94,17.8,17.8,18.099999999999994,18.56,17.84
18.88,18.56,19.12,18.13200000000001,18.81833333333333,18.56,19.94,17.8,17.8,18.339999999999993,18.56,17.9
19.12,18.88,19.22,18.348000000000006,18.812666666666665,18.88,19.94,17.84,17.8,18.66666666666666,18.88,18.56
19.22,19.12,18.8,18.604000000000006,18.826666666666664,19.12,19.94,17.9,17.8,18.853333333333325,19.12,18.56
18.8,19.22,18.1,18.868000000000006,18.84733333333333,19.22,19.94,18.56,17.8,19.073333333333323,19.22,18.88
18.1,18.8,17.98,18.916000000000004,18.865,19.22,19.94,18.56,17.8,19.046666666666656,19.22,18.8
17.98,18.1,17.7,18.824000000000005,18.865,19.22,19.94,18.1,17.8,18.70666666666666,19.22,18.1
17.7,17.98,18.16,18.64400000000001,18.851666666666667,19.22,19.94,17.98,17.8,18.293333333333326,18.8,17.98
18.16,17.7,18.31,18.360000000000007,18.821666666666665,19.22,19.94,17.7,17.7,17.926666666666662,18.1,17.7
18.31,18.16,17.98,18.148000000000007,18.791999999999998,18.8,19.94,17.7,17.7,17.946666666666662,18.16,17.7
17.98,18.31,17.98,18.050000000000008,18.778,18.31,19.94,17.7,17.7,18.056666666666658,18.31,17.7
17.98,17.98,18.27,18.02600000000001,18.712666666666664,18.31,19.94,17.7,17.7,18.14999999999999,18.31,17.98
18.27,17.98,18.31,18.02600000000001,18.650999999999996,18.31,19.94,17.7,17.7,18.089999999999993,18.31,17.98
18.31,18.27,17.98,18.140000000000008,18.595333333333325,18.31,19.83,17.98,17.7,18.076666666666657,18.27,17.98
17.98,18.31,18.7,18.17000000000001,18.55199999999999,18.31,19.83,17.98,17.7,18.186666666666657,18.31,17.98
18.7,17.98,18.81,18.10400000000001,18.505333333333326,18.31,19.83,17.98,17.7,18.186666666666657,18.31,17.98
18.81,18.7,18.62,18.24800000000001,18.48766666666666,18.7,19.83,17.98,17.7,18.329999999999995,18.7,17.98
18.62,18.81,18.31,18.41400000000001,18.473666666666656,18.81,19.83,17.98,17.7,18.49666666666666,18.81,17.98
18.31,18.62,18.73,18.484000000000012,18.433333333333323,18.81,19.52,17.98,17.7,18.709999999999994,18.81,18.62
18.73,18.31,19.36,18.484000000000012,18.392999999999986,18.81,19.22,17.98,17.7,18.579999999999995,18.81,18.31
19.36,18.73,19.05,18.63400000000001,18.383333333333322,18.81,19.22,18.31,17.7,18.553333333333327,18.73,18.31
19.05,19.36,19.27,18.766000000000012,18.394666666666655,19.36,19.36,18.31,17.7,18.799999999999994,19.36,18.31
19.27,19.05,19.6,18.81400000000001,18.40399999999999,19.36,19.36,18.31,17.7,19.046666666666656,19.36,18.73
19.6,19.27,19.36,18.94400000000001,18.43299999999999,19.36,19.36,18.31,17.7,19.226666666666656,19.36,19.05
19.36,19.6,19.1,19.20200000000001,18.472999999999992,19.6,19.6,18.73,17.7,19.306666666666658,19.6,19.05
19.1,19.36,18.95,19.32800000000001,18.516333333333325,19.6,19.6,19.05,17.7,19.409999999999993,19.6,19.27
18.95,19.1,19.33,19.276000000000007,18.545333333333325,19.6,19.6,19.05,17.7,19.353333333333328,19.6,19.1
19.33,18.95,19.75,19.256000000000007,18.583666666666662,19.6,19.6,18.95,17.7,19.136666666666663,19.36,18.95
19.75,19.33,20.11,19.268000000000008,18.63333333333333,19.6,19.6,18.95,17.7,19.12666666666666,19.33,18.95
20.11,19.75,20.08,19.29800000000001,18.694999999999997,19.75,19.75,18.95,17.7,19.343333333333327,19.75,18.95
20.08,20.11,19.8,19.448000000000008,18.746666666666666,20.11,20.11,18.95,17.7,19.729999999999993,20.11,19.33
19.8,20.08,19.69,19.644000000000005,18.797333333333334,20.11,20.11,18.95,17.7,19.979999999999993,20.11,19.75
19.69,19.8,21.48,19.814000000000004,18.828,20.11,20.11,19.33,17.7,19.99666666666666,20.11,19.8
21.48,19.69,19.8,19.886000000000003,18.847,20.11,20.11,19.69,17.7,19.85666666666666,20.08,19.69
19.8,21.48,19.47,20.232000000000006,18.922333333333334,21.48,21.48,19.69,17.7,20.323333333333327,21.48,19.69
19.47,19.8,19.66,20.170000000000005,18.95566666666667,21.48,21.48,19.69,17.7,20.323333333333327,21.48,19.69
19.66,19.47,20.6,20.048000000000005,19.001333333333335,21.48,21.48,19.47,17.7,20.249999999999996,21.48,19.47
20.6,19.66,21.7,20.020000000000003,19.057333333333336,21.48,21.48,19.47,17.7,19.643333333333327,19.8,19.47
21.7,20.6,21.48,20.202000000000005,19.154,21.48,21.48,19.47,17.98,19.909999999999993,20.6,19.47
21.48,21.7,20.81,20.246000000000002,19.272000000000002,21.7,21.7,19.47,17.98,20.653333333333325,21.7,19.66
