,Unnamed: 0,Date,Open,High,Low,Close,Volume,Currency,rsi,weekday,middle_bb,lower_bb,upper_bb,macd,pos_directional_indicator,neg_directional_indicator,adx,cci,aroon_down,aroon_up,aroon_indicator,slow_stochastic_indicator,fast_stochastic_indicator,roc,williams_percent_range,volume_price_trend,week,month,Last,close_open/open,high_low/low,high_close/close,close_low/low,high_open/open,last_open/open,last_low/low,high_last/last,open_low/low,last_day_jump3,last_day_jump5,last_day_jump7,last_day_jump3n,last_day_jump5n,last_day_jump7n,close_upperBB/upperBB,close_middleBB/middleBB,close_lowerBB/lowerBB,close_ema_200,close_ema_50,close_ema_26,close_ema_12,close_ema_9,close_ema_4,change_ema_200_4,macd_signal,macd_0n,macd_1n,macd_5n,macd_5,macd_10,macd_convergence,close_closeEma200/closeEma200,close_closeEma50/closeEma50,close_200_change,slow_stohastic_change,slow_stohastic_change5,aroon_up_change,aroon_up_change3,aroon_up_change5,aroon_up_change3/aroon_up_change,adx_change,money_flow_index,money_flow_change,money_flow_change5,close_ema_4_200_down,close_ema_4_200_up,close_ema_4_50_down,close_ema_4_50_up,close_ema_4_26_down,close_ema_4_26_up,close_ema_9_200_down,close_ema_9_200_up,close_ema_macd_macdSignal_down,close_ema_macd_macdSignal_up,cci_upperBand_up,cci_upperBand_down,cci_lowerBand_up,cci_lowerBand_down,wpr_-10_up,wpr_-20_up,wpr_-10_down,wpr_-20_down,wpr_-90_up,wpr_-80_up,wpr_-80_down,wpr_-90_down,aroonUp_aroonDown_up,aroonUp_aroonDown_down,rsi_50_up,rsi_50_down,rertacement_23.6,rertacement_38.2,rertacement_50.0,rertacement_61.8,rertacement_76.4,rertacement_78.6,rertacement_85.4,extension_127.2,extension_138.2,extension_150.0,extension_161.8,extension_176.4,extension_261.8,extension_423.6,slow_stochastic_down,slow_stochastic_up,days_up,days_down,week_change,month_change,year_change,nine_period_high,nine_period_low,ichimoku,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend,week_ratio_compare
0,0,2000-01-03,15.78,16.11,15.55,15.66,4774100,USD,,3,,,,0.0,0.0,0.0,0.0,,,,,,,,,-2599891.0,1,1,,-0.007603,0.036,0.02873,0.007072,0.02092,,,,0.01479,False,False,False,False,False,False,,,,15.66,15.66,15.66,15.66,15.66,15.66,,0.0,False,False,False,False,False,,0.0,0.0,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-354.0,-582.5,-767.5,-952.0,-1181.0,-1215.0,-1322.0,1992.0,2164.0,2348.0,2534.0,2762.0,4100.0,6630.0,1,1,0,1,,,,,,,0.56,,,0.56,,,,,,,
1,1,2000-01-04,15.41,15.55,15.1,15.22,4818900,USD,,3,,,,-0.0351,0.0,0.0,0.0,,,,,,,,,-2735960.0,1,1,15.66,-0.01233,0.0298,0.02168,0.00795,0.00909,0.01622,0.03708,-0.007023,0.02052,False,False,False,False,False,False,,,,15.44,15.44,15.43,15.42,15.414,15.38,4.38,-0.0195,True,False,False,False,False,-1.0,-0.014175,-0.01397,-0.014175,,,,,,,0.0,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-344.0,-566.0,-746.0,-925.5,-1148.0,-1181.0,-1285.0,1936.0,2104.0,2284.0,2462.0,2684.0,3984.0,6450.0,2,2,0,2,,,,,,,0.45,0.11,0.56,0.56,,,,,,,
2,2,2000-01-05,15.02,15.36,15.02,15.19,5262300,USD,,3,,,,-0.0646,0.0,0.0,0.0,,,,,,,,,-145769.4,1,1,15.22,0.01132,0.02264,0.01119,0.01132,0.02264,0.01331,0.01331,0.0092,0.0,False,False,False,False,False,False,,,,15.35,15.35,15.34,15.33,15.32,15.29,1.304,-0.038,True,False,False,False,False,-0.4138,-0.01075,-0.01045,0.003426,,,,,,,0.0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-343.2,-565.0,-744.5,-923.5,-1145.0,-1179.0,-1282.0,1932.0,2100.0,2278.0,2458.0,2680.0,3976.0,6436.0,3,3,1,0,,,,,,,0.34,0.14,0.2,0.34,,,,,,,
3,3,2000-01-06,15.22,15.78,15.13,15.72,7846600,USD,,3,,,,-0.04468,0.0,0.0,0.0,,,,,,,,,263406.2,1,1,15.19,0.03284,0.04297,0.003817,0.039,0.0368,-0.00197,0.003967,0.03885,0.005947,True,False,False,False,False,False,,,,15.445,15.445,15.45,15.45,15.46,15.484,-2.271,-0.04025,True,False,False,False,False,5.004,0.01762,0.01758,0.02838,,,,,,,0.0,,,,4,0,4,0,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-355.2,-585.0,-770.5,-956.0,-1185.0,-1220.0,-1327.0,2000.0,2172.0,2358.0,2544.0,2774.0,4116.0,6660.0,4,4,2,0,,,,,,,0.65,0.59,0.06,0.65,,,,,,,
4,4,2000-01-07,15.44,16.22,15.44,15.89,7072900,USD,,3,,,,-0.015015,0.0,0.0,0.0,,,,,,,,,350266.78,1,1,15.72,0.02914,0.0505,0.02077,0.02914,0.0505,0.01813,0.01813,0.0318,0.0,False,False,False,False,False,False,,,,15.54,15.55,15.555,15.57,15.586,15.664,-0.559,-0.03275,True,False,False,False,False,-0.75,0.02266,0.02226,0.00503,,,,,,,0.0,,,,5,1,5,1,5,1,5,1,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-359.0,-591.0,-778.5,-966.0,-1198.0,-1233.0,-1341.0,2021.0,2196.0,2384.0,2572.0,2802.0,4160.0,6732.0,5,5,3,0,,,,,,,0.78,0.5,0.28,0.78,,,,,,,
5,5,2000-01-10,16.11,16.14,15.61,15.78,4687500,USD,,3,,,,-0.0003757,0.0,0.0,0.0,,,,,,,,,44038.45,2,1,15.89,-0.02048,0.03397,0.02281,0.01089,0.001863,-0.01366,0.01794,0.01573,0.03204,False,False,False,False,False,False,,,,15.58,15.586,15.59,15.625,15.64,15.71,-0.2644,-0.02397,True,False,False,False,False,-0.2487,0.012886,0.01236,-0.00977,,,,,,,0.0,,,,6,2,6,2,6,2,6,2,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-356.8,-587.0,-773.0,-959.5,-1190.0,-1225.0,-1332.0,2007.0,2180.0,2368.0,2554.0,2784.0,4132.0,6684.0,6,6,0,1,0.007603,,,,,,0.53,0.25,0.28,0.53,,,,,,,
6,6,2000-01-11,15.38,15.75,15.38,15.55,4279500,USD,,3,,,,-0.007248,0.0,0.0,0.0,,,,,,,,,-94825.13,2,1,15.78,0.011055,0.02406,0.01286,0.011055,0.02406,0.026,0.026,-0.001901,0.0,False,False,False,False,False,False,,,,15.58,15.58,15.586,15.61,15.62,15.65,0.00425,-0.01974,True,False,False,False,False,0.889,-0.001604,-0.002012,-0.01449,,,,,,,0.0,,,,7,3,7,3,7,3,7,3,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-351.5,-578.5,-762.0,-945.5,-1172.0,-1207.0,-1312.0,1978.0,2150.0,2332.0,2516.0,2744.0,4070.0,6588.0,7,7,1,0,0.02122,,,,,,0.37,0.03,0.4,0.4,0.57,17.28,13.85,17.28,13.85,17.28,
7,7,2000-01-12,15.58,15.66,15.22,15.24,3741800,USD,,3,,,,-0.0373,0.0,0.0,0.0,,,,,,,,,-136970.84,2,1,15.55,-0.02182,0.02892,0.02756,0.001314,0.005135,-0.001925,0.02168,0.007072,0.02365,False,False,False,False,False,False,,,,15.53,15.53,15.53,15.53,15.52,15.48,1.005,-0.02396,True,False,False,False,False,-0.0627,-0.01878,-0.01883,-0.01717,,,,,,,0.0,,,,0,4,0,4,0,4,0,4,0,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-344.5,-567.0,-747.0,-926.5,-1149.0,-1183.0,-1286.0,1939.0,2106.0,2286.0,2466.0,2688.0,3990.0,6456.0,8,8,0,1,0.00328,,,,,,0.44,0.11,0.33,0.44,0.5513,17.1,13.79,17.1,13.85,17.1,
8,8,2000-01-13,15.24,15.38,15.08,15.1,4765500,USD,,3,,,,-0.07153,0.0,0.0,0.0,,,,,,,,,-118372.93,2,1,15.24,-0.009186,0.0199,0.01854,0.001327,0.009186,0.0,0.01061,0.009186,0.01061,False,False,False,False,False,False,,,,15.484,15.48,15.47,15.445,15.43,15.33,0.4749,-0.03494,True,False,False,False,False,-0.6357,-0.02466,-0.02432,-0.00588,,,,,,,0.0,,,,1,5,1,5,1,5,1,5,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-341.2,-561.5,-740.0,-918.0,-1139.0,-1172.0,-1274.0,1921.0,2086.0,2264.0,2444.0,2664.0,3954.0,6396.0,9,9,0,2,-0.04105,,,16.22,15.02,15.62,0.3,0.14,0.16,0.3,0.5156,16.78,13.68,16.78,13.85,16.78,
9,9,2000-01-14,15.44,15.5,15.22,15.44,5035600,USD,,3,,,,-0.0705,0.0,0.0,0.0,,,,,,,,,69606.81,2,1,15.1,0.0,0.0184,0.003885,0.01446,0.003885,-0.02202,-0.00788,0.02649,0.01446,False,False,False,False,False,False,,,,15.48,15.47,15.46,15.445,15.43,15.375,0.08716,-0.0429,True,False,False,False,False,0.3281,-0.002415,-0.002071,0.02225,,,,,,,0.0,,,,2,6,2,6,2,6,2,6,2,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-349.0,-574.5,-756.5,-939.0,-1164.0,-1198.0,-1303.0,1964.0,2134.0,2316.0,2498.0,2724.0,4042.0,6540.0,10,10,0,0,-0.02914,,,16.22,15.02,15.62,0.28,0.4,0.12,0.4,0.499,16.86,13.86,16.78,13.86,16.78,
