Close,close_yesterday,close_tomorrow,n_roll_mean_5,n_roll_mean_30,n_roll_max_5,n_roll_max_30,n_roll_min_5,n_roll_min_30,n_roll_mean_3,n_roll_max_3,n_roll_min_3
40.97,40.97,40.6,40.97,40.97,40.97,40.97,40.97,40.97,40.97,40.97,40.97
40.6,40.97,41.12,40.97,40.97,40.97,40.97,40.97,40.97,40.97,40.97,40.97
41.12,40.6,42.06,40.846666666666664,40.846666666666664,40.97,40.97,40.6,40.6,40.846666666666664,40.97,40.6
42.06,41.12,43.1,40.915,40.915,41.12,41.12,40.6,40.6,40.89666666666667,41.12,40.6
43.1,42.06,42.25,41.144,41.144,42.06,42.06,40.6,40.6,41.26,42.06,40.6
42.25,43.1,41.88,41.57,41.47,43.1,43.1,40.6,40.6,42.093333333333334,43.1,41.12
41.88,42.25,41.62,41.826,41.58142857142857,43.1,43.1,40.6,40.6,42.47,43.1,42.06
41.62,41.88,41.16,42.082,41.61875,43.1,43.1,41.12,40.6,42.41,43.1,41.88
41.16,41.62,38.8,42.182,41.61888888888889,43.1,43.1,41.62,40.6,41.916666666666664,42.25,41.62
38.8,41.16,42.6,42.001999999999995,41.573,43.1,43.1,41.16,40.6,41.553333333333335,41.88,41.16
42.6,38.8,40.03,41.142,41.32090909090909,42.25,43.1,38.8,38.8,40.526666666666664,41.62,38.8
40.03,42.6,39.84,41.212,41.4275,42.6,43.1,38.8,38.8,40.853333333333325,42.6,38.8
39.84,40.03,39.4,40.842,41.32000000000001,42.6,43.1,38.8,38.8,40.47666666666666,42.6,38.8
39.4,39.84,40.25,40.486000000000004,41.21428571428572,42.6,43.1,38.8,38.8,40.82333333333333,42.6,39.84
40.25,39.4,40.2,40.134,41.09333333333334,42.6,43.1,38.8,38.8,39.75666666666666,40.03,39.4
40.2,40.25,39.56,40.424,41.040625000000006,42.6,43.1,39.4,38.8,39.82999999999999,40.25,39.4
39.56,40.2,38.56,39.944,40.99117647058824,40.25,43.1,39.4,38.8,39.949999999999996,40.25,39.4
38.56,39.56,37.38,39.85,40.91166666666667,40.25,43.1,39.4,38.8,40.00333333333333,40.25,39.56
37.38,38.56,37.97,39.594,40.787894736842105,40.25,43.1,38.56,38.56,39.44,40.2,38.56
