,Unnamed: 0,Date,Open,High,Low,Close,Volume,Currency,rsi,weekday,middle_bb,lower_bb,upper_bb,macd,pos_directional_indicator,neg_directional_indicator,adx,cci,aroon_down,aroon_up,aroon_indicator,slow_stochastic_indicator,fast_stochastic_indicator,roc,williams_percent_range,volume_price_trend,week,month,Last,close_open/open,high_low/low,high_close/close,close_low/low,high_open/open,last_open/open,last_low/low,high_last/last,open_low/low,last_day_jump3,last_day_jump5,last_day_jump7,last_day_jump3n,last_day_jump5n,last_day_jump7n,close_upperBB/upperBB,close_middleBB/middleBB,close_lowerBB/lowerBB,close_ema_200,close_ema_50,close_ema_26,close_ema_12,close_ema_9,close_ema_4,change_ema_200_4,macd_signal,macd_0n,macd_1n,macd_5n,macd_5,macd_10,macd_convergence,close_closeEma200/closeEma200,close_closeEma50/closeEma50,close_200_change,slow_stohastic_change,slow_stohastic_change5,aroon_up_change,aroon_up_change3,aroon_up_change5,aroon_up_change3/aroon_up_change,adx_change,money_flow_index,money_flow_change,money_flow_change5,close_ema_4_200_down,close_ema_4_200_up,close_ema_4_50_down,close_ema_4_50_up,close_ema_4_26_down,close_ema_4_26_up,close_ema_9_200_down,close_ema_9_200_up,close_ema_macd_macdSignal_down,close_ema_macd_macdSignal_up,cci_upperBand_up,cci_upperBand_down,cci_lowerBand_up,cci_lowerBand_down,wpr_-10_up,wpr_-20_up,wpr_-10_down,wpr_-20_down,wpr_-90_up,wpr_-80_up,wpr_-80_down,wpr_-90_down,aroonUp_aroonDown_up,aroonUp_aroonDown_down,rsi_50_up,rsi_50_down,rertacement_23.6,rertacement_38.2,rertacement_50.0,rertacement_61.8,rertacement_76.4,rertacement_78.6,rertacement_85.4,extension_127.2,extension_138.2,extension_150.0,extension_161.8,extension_176.4,extension_261.8,extension_423.6,slow_stochastic_down,slow_stochastic_up,days_up,days_down,week_change,month_change,year_change,nine_period_high,nine_period_low,ichimoku,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend,week_ratio_compare
0,0,2000-01-03,42.16,42.5,40.94,40.97,2140400,USD,,3,,,,0.0,0.0,0.0,0.0,,,,,,,,,-743623.7,1,1,,-0.02798,0.03836,0.03708,0.001222,0.008064,,,,0.03004,False,False,False,False,False,False,,,,40.97,40.97,40.97,40.97,40.97,40.97,,0.0,False,False,False,False,False,,0.0,0.0,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-926.0,-1524.0,-2008.0,-2492.0,-3090.0,-3180.0,-3458.0,5212.0,5664.0,6148.0,6630.0,7228.0,10730.0,17359.129,1,1,0,1,,,,,,,1.57,,,1.57,,,,,,,
1,1,2000-01-04,40.7,41.75,40.6,40.97,2491200,USD,,3,,,,0.0,0.0,0.0,0.0,,,,,,,,,-742985.8,1,1,40.97,0.007374,0.02908,0.01903,0.00986,0.02655,0.007374,0.00986,0.01903,0.002464,False,False,False,False,False,False,,,,40.97,40.97,40.97,40.97,40.97,40.97,,0.0,False,False,False,False,False,,0.0,0.0,0.0,,,,,,,0.0,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-926.0,-1524.0,-2008.0,-2492.0,-3090.0,-3180.0,-3458.0,5212.0,5664.0,6148.0,6630.0,7228.0,10730.0,17359.129,2,2,1,0,,,,,,,1.18,0.78,0.4,1.18,,,,,,,
2,2,2000-01-05,40.94,40.94,39.78,40.6,2386200,USD,,3,,,,-0.03192,0.0,0.0,0.0,,,,,,,,,-23291.361,1,1,40.97,-0.00855,0.02866,0.00862,0.01985,0.0,0.001222,0.0299,-0.00122,0.02866,False,False,False,False,False,False,,,,40.84,40.84,40.84,40.8,40.8,40.78,2.145,-0.01308,True,False,False,False,False,-1.0,-0.006496,-0.006397,-0.006496,,,,,,,0.0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-917.0,-1510.0,-1988.0,-2468.0,-3060.0,-3150.0,-3424.0,5160.0,5610.0,6090.0,6564.0,7160.0,10620.0,17189.688,3,3,0,1,,,,,,,1.14,0.05,1.19,1.19,,,,,,,
3,3,2000-01-06,40.88,41.72,40.44,41.12,1682700,USD,,3,,,,-0.013466,0.0,0.0,0.0,,,,,,,,,-899.5923,1,1,40.6,0.00587,0.03165,0.01435,0.01706,0.02031,-0.00734,0.00371,0.02785,0.01113,False,False,False,False,False,False,,,,40.9,40.9,40.9,40.9,40.9,40.94,-3.508,-0.01321,True,False,False,False,False,71.9,0.00501,0.005005,0.011505,,,,,,,0.0,,,,4,0,4,0,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-929.5,-1530.0,-2015.0,-2500.0,-3100.0,-3190.0,-3470.0,5230.0,5684.0,6170.0,6652.0,7252.0,10770.0,17418.432,4,4,1,0,,,,,,,1.28,1.13,0.15,1.28,,,,,,,
4,4,2000-01-07,42.06,42.4,41.38,42.06,1500800,USD,,3,,,,0.0761,0.0,0.0,0.0,,,,,,,,,56699.94,1,1,41.12,0.0,0.0249,0.00809,0.01668,0.00809,-0.02235,-0.006042,0.03113,0.01668,False,False,False,False,False,False,,,,41.16,41.16,41.2,41.22,41.25,41.44,-0.365,0.01337,False,False,False,False,False,-0.996,0.02216,0.02179,0.01714,,,,,,,0.0,,,,5,1,5,1,5,1,5,1,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-950.5,-1565.0,-2060.0,-2558.0,-3172.0,-3264.0,-3550.0,5350.0,5812.0,6308.0,6804.0,7420.0,11010.0,17816.615,5,5,0,0,,,,,,,1.03,1.28,0.25,1.28,,,,,,,
5,5,2000-01-10,41.75,43.12,41.66,43.1,1365800,USD,,3,,,,0.2277,0.0,0.0,0.0,,,,,,,,,67755.01,2,1,42.06,0.03186,0.03528,0.001161,0.0341,0.03305,0.007183,0.00936,0.02568,0.00216,True,False,False,False,False,False,,,,41.47,41.53,41.56,41.7,41.75,42.12,0.1829,0.0714,False,False,False,False,False,-0.598,0.03882,0.0379,0.01666,,,,,,,0.0,,,,6,2,6,2,6,2,6,2,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-974.0,-1603.0,-2112.0,-2620.0,-3248.0,-3344.0,-3636.0,5480.0,5956.0,6464.0,6972.0,7600.0,11280.0,18252.924,6,6,1,0,0.04898,,,,,,1.47,1.08,0.39,1.47,,,,,,,
6,6,2000-01-11,42.66,42.84,42.0,42.25,862800,USD,,3,,,,0.2776,0.0,0.0,0.0,,,,,,,,,16827.576,2,1,43.1,-0.00915,0.01999,0.01396,0.00595,0.00469,0.010315,0.02571,-0.00557,0.015236,False,False,False,False,False,False,,,,41.6,41.62,41.7,41.8,41.88,42.2,-0.1398,0.1236,False,False,False,False,False,0.01472,0.01599,0.01498,-0.02283,,,,,,,0.0,,,,7,3,7,3,7,3,7,3,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-955.0,-1572.0,-2070.0,-2570.0,-3186.0,-3280.0,-3566.0,5376.0,5840.0,6340.0,6836.0,7456.0,11064.0,17901.336,7,7,0,1,0.03029,,,,,,0.84,0.24,1.08,1.08,1.328,46.4,38.44,46.4,38.44,46.4,
7,7,2000-01-12,42.25,42.44,41.56,41.88,879500,USD,,3,,,,0.2815,0.0,0.0,0.0,,,,,,,,,-24943.918,2,1,42.25,-0.00947,0.02116,0.01409,0.006977,0.004498,0.0,0.0166,0.004498,0.0166,False,False,False,False,False,False,,,,41.62,41.66,41.72,41.8,41.88,42.06,0.04803,0.1615,False,False,False,False,False,0.283,0.00554,0.0046,-0.010445,,,,,,,0.0,,,,8,4,8,4,8,4,8,4,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-946.0,-1557.0,-2052.0,-2546.0,-3156.0,-3248.0,-3532.0,5324.0,5784.0,6280.0,6772.0,7384.0,10960.0,17731.896,8,8,0,2,0.03058,,,,,,0.88,0.19,0.69,0.88,1.265,45.8,38.22,45.8,38.44,45.8,
8,8,2000-01-13,41.88,41.88,41.3,41.62,1042600,USD,,3,,,,0.2622,0.0,0.0,0.0,,,,,,,,,-14302.297,2,1,41.88,-0.005733,0.01307,0.005768,0.00726,0.0,0.0,0.01307,0.0,0.01307,False,False,False,False,False,False,,,,41.62,41.66,41.7,41.78,41.8,41.88,0.1691,0.1848,False,False,False,False,False,0.5483,-0.0001991,-0.001009,-0.005737,,,,,,,0.0,,,,9,5,9,5,9,5,9,5,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-940.5,-1548.0,-2039.0,-2530.0,-3138.0,-3230.0,-3512.0,5296.0,5750.0,6244.0,6736.0,7340.0,10900.0,17630.232,9,9,0,3,0.01202,,,43.12,39.78,41.47,0.54,0.0,0.54,0.54,1.161,45.06,38.1,45.06,38.44,45.06,
9,9,2000-01-14,40.88,41.66,40.2,41.16,1696000,USD,,3,,,,0.2084,0.0,0.0,0.0,,,,,,,,,-24314.979,2,1,41.62,0.007095,0.03683,0.012146,0.02438,0.01932,0.0181,0.03558,0.001202,0.01717,False,False,False,False,False,False,,,,41.6,41.6,41.62,41.66,41.7,41.6,-3.938,0.1901,False,False,False,False,False,3.242,-0.00987,-0.01042,-0.00967,,,,,,,0.0,,,,10,6,0,6,0,6,10,6,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-930.5,-1532.0,-2017.0,-2504.0,-3104.0,-3194.0,-3474.0,5236.0,5690.0,6176.0,6660.0,7264.0,10776.0,17439.611,10,10,1,0,-0.02162,,,43.12,39.78,41.47,1.48,0.05,1.43,1.48,1.206,44.56,37.3,44.56,38.44,44.56,
10,10,2000-01-18,40.78,41.03,38.66,38.8,2241500,USD,,3,,,,-0.02455,0.0,0.0,0.0,,,,,,,,,-146827.5,3,1,41.16,-0.0483,0.0613,0.0572,0.00388,0.00613,0.00957,0.06494,-0.0034,0.05484,False,False,False,True,False,False,,,,41.3,41.28,41.25,41.16,41.03,40.47,1.432,0.1431,True,False,False,False,False,-0.891,-0.06064,-0.06018,-0.05078,,,,,,,0.0,,,,0,7,1,7,1,7,0,7,0,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-877.0,-1444.0,-1902.0,-2360.0,-2926.0,-3012.0,-3276.0,4936.0,5364.0,5820.0,6280.0,6850.0,10160.0,16439.916,11,11,0,1,-0.1103,,,43.12,38.66,40.9,2.37,0.14,2.51,2.51,1.393,44.03,35.66,44.03,38.44,44.03,
11,11,2000-01-19,38.9,42.94,38.88,42.6,3382000,USD,,3,,,,0.0956,0.0,0.0,0.0,,,,,,,,,201779.88,3,1,38.8,0.09485,0.1052,0.00822,0.09625,0.1038,-0.00257,-0.0012865,0.1067,0.0012865,True,True,True,False,False,False,,,,41.44,41.44,41.44,41.4,41.38,41.3,1.961,0.1329,False,False,False,False,False,3.494,0.02827,0.02824,0.0889,,,,,,,0.0,,,,1,8,2,8,2,8,1,8,1,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-963.0,-1585.0,-2088.0,-2590.0,-3212.0,-3306.0,-3596.0,5420.0,5890.0,6390.0,6892.0,7516.0,11150.0,18045.36,12,12,1,0,0.00798,,,43.12,38.66,40.9,4.09,4.14,0.05,4.14,1.785,46.25,35.56,44.03,38.44,44.03,
12,12,2000-01-20,42.06,42.56,39.7,40.03,2553900,USD,,3,,,,-0.01557,0.0,0.0,0.0,,,,,,,-2.293,,176796.23,3,1,42.6,-0.04803,0.0718,0.0627,0.00857,0.01165,0.01284,0.07306,-0.001174,0.05945,False,False,False,True,False,False,,,,41.3,41.28,41.25,41.16,41.1,40.8,0.74,0.1015,True,False,False,False,False,-0.681,-0.03087,-0.03041,-0.05914,,,,,,,0.0,,,,2,9,3,9,3,9,2,9,2,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-905.0,-1489.0,-1962.0,-2434.0,-3020.0,-3108.0,-3380.0,5092.0,5532.0,6010.0,6480.0,7064.0,10480.0,16960.943,13,13,0,1,-0.04544,,,43.12,38.66,40.9,2.85,0.05,2.9,2.9,1.944,46.97,35.28,44.03,38.44,44.03,
13,13,2000-01-21,40.62,40.62,39.4,39.84,2241400,USD,45.84,3,,,,-0.11847,0.0,0.0,0.0,,,,,,26.34,-2.781,-73.7,-164669.61,3,1,40.03,-0.01944,0.03122,0.01984,0.01117,0.0,-0.01452,0.01625,0.01473,0.03122,False,False,False,False,False,False,,,,41.2,41.16,41.1,40.94,40.84,40.44,0.5327,0.05548,True,False,False,False,False,-0.327,-0.03308,-0.03214,-0.00221,,,,,,,0.0,33.12,,,3,10,4,10,4,10,3,10,3,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-900.5,-1482.0,-1952.0,-2422.0,-3004.0,-3092.0,-3362.0,5068.0,5504.0,5976.0,6450.0,7028.0,10430.0,16876.225,14,14,0,2,-0.04468,,,43.12,38.66,40.9,1.23,0.59,0.64,1.23,1.843,45.53,34.5,44.03,38.44,44.03,
14,14,2000-01-24,40.2,40.2,39.2,39.4,2315400,USD,44.44,3,,,,-0.2328,0.0,0.0,0.0,,,,,,16.52,-2.908,-83.5,-36767.492,4,1,39.84,-0.01965,0.02525,0.02005,0.0051,0.0,-0.008705,0.01633,0.00878,0.02525,False,False,False,False,False,False,,,,41.06,41.0,40.9,40.7,40.53,40.0,0.531,-0.00428,True,False,False,False,False,-0.2389,-0.04077,-0.03925,-0.00768,,,,,,,0.0,30.33,-2.787,,4,11,5,11,5,11,4,11,4,10,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-890.5,-1466.0,-1931.0,-2396.0,-2970.0,-3058.0,-3326.0,5012.0,5444.0,5910.0,6376.0,6950.0,10310.0,16689.84,99,99,0,3,-0.04492,,,42.94,38.66,40.8,0.99,0.35,0.64,0.99,1.721,44.84,34.53,44.03,38.44,44.03,
15,15,2000-01-25,39.78,40.44,39.56,40.25,1934900,USD,47.53,3,,,,-0.2527,18.88,21.45,0.0,,,,,26.05,35.28,-2.14,-64.75,15679.988,4,1,39.4,0.01131,0.02225,0.004723,0.01744,0.01608,-0.0098,-0.003792,0.02614,0.00607,False,False,False,False,False,False,,,,41.03,40.94,40.84,40.6,40.47,40.1,0.1521,-0.05542,True,False,False,False,False,0.1581,-0.01897,-0.01723,0.02179,,,,,,,0.0,38.3,7.99,,5,12,6,12,6,12,5,12,5,11,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-909.5,-1497.0,-1972.0,-2446.0,-3034.0,-3122.0,-3396.0,5120.0,5560.0,6036.0,6510.0,7100.0,10536.0,17045.664,99,99,1,0,0.03552,,,42.94,38.66,40.8,0.88,1.03,0.15,1.03,1.622,44.84,35.12,44.03,38.44,44.03,
16,16,2000-01-26,40.88,40.88,39.44,40.2,1395300,USD,48.66,3,,,,-0.2695,19.7,20.03,0.0,,,,,28.64,34.16,-4.445,-65.9,39517.953,4,1,40.25,-0.01688,0.03625,0.01717,0.01875,0.0,-0.01566,0.02002,0.0159,0.03625,False,False,False,False,False,False,,,,40.97,40.88,40.78,40.53,40.4,40.12,0.09814,-0.0992,True,False,False,False,False,0.159,-0.01892,-0.01701,4.16e-05,0.1,,,,,,0.0,45.3,6.984,,6,13,7,13,7,13,6,13,6,12,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-908.5,-1495.0,-1969.0,-2444.0,-3030.0,-3118.0,-3392.0,5110.0,5556.0,6028.0,6504.0,7090.0,10520.0,17024.484,99,99,0,1,-0.05997,,,42.94,38.66,40.8,1.43,0.64,0.79,1.43,1.595,44.94,35.38,44.03,38.44,44.03,
17,17,2000-01-27,40.38,40.72,37.47,39.56,2036900,USD,44.7,3,,,,-0.3306,16.95,25.72,0.0,,,,,35.34,36.56,-8.22,-63.44,-34170.05,4,1,40.2,-0.0208,0.08673,0.02983,0.05524,0.008415,-0.00495,0.0723,0.013435,0.07764,False,False,False,False,False,False,,,,40.88,40.78,40.66,40.38,40.25,39.9,0.323,-0.1464,True,False,False,False,False,-0.0758,-0.03253,-0.03024,-0.0136,0.2334,,,,,,0.0,38.16,-7.152,,7,14,8,14,8,14,7,14,7,13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-894.0,-1471.0,-1938.0,-2404.0,-2982.0,-3070.0,-3338.0,5030.0,5464.0,5932.0,6400.0,6976.0,10350.0,16753.38,99,99,0,2,-0.01239,,,42.94,37.47,40.22,3.25,0.54,2.71,3.25,1.831,44.6,33.62,44.03,38.44,44.03,
