Unnamed: 0,Unnamed: 0.1,Date,Price,Open,High,Low,Vol,Change,prev_change,day,month,year,weekday,quarter,change_class,kfold
0,1,2015-12-30,17600.0,17710.0,17710.0,17580.0,59.75,-0.66,-1.02,30,12,2015,2,4,0,0
1,2,2015-12-29,17730.0,17550.0,17740.0,17550.0,69.9,1.1,-0.66,29,12,2015,1,4,1,0
2,3,2015-12-28,17540.0,17540.0,17540.0,17440.0,59.78,-0.14,1.1,28,12,2015,0,4,0,0
3,4,2015-12-24,17550.0,17600.0,17600.0,17540.0,40.34,-0.29,-0.14,24,12,2015,3,4,0,0
4,5,2015-12-23,17600.0,17420.0,17600.0,17420.0,92.8,1.06,-0.29,23,12,2015,2,4,1,0
5,6,2015-12-22,17420.0,17250.0,17460.0,17250.0,91.56,0.96,1.06,22,12,2015,1,4,0,0
6,7,2015-12-21,17250.0,17150.0,17280.0,17120.0,114.94,0.72,0.96,21,12,2015,0,4,0,0
7,8,2015-12-18,17140.0,17490.0,17500.0,17120.0,344.5,-2.1,0.72,18,12,2015,4,4,0,0
8,9,2015-12-17,17490.0,17760.0,17800.0,17490.0,115.75,-1.43,-2.1,17,12,2015,3,4,0,0
9,10,2015-12-16,17740.0,17540.0,17800.0,17490.0,123.8,1.28,-1.43,16,12,2015,2,4,1,0
10,11,2015-12-15,17520.0,17380.0,17630.0,17340.0,123.44,0.9,1.28,15,12,2015,1,4,0,0
11,12,2015-12-14,17380.0,17280.0,17380.0,17140.0,142.5,0.6,0.9,14,12,2015,0,4,0,0
12,13,2015-12-11,17260.0,17570.0,17570.0,17230.0,134.5,-1.76,0.6,11,12,2015,4,4,0,0
13,14,2015-12-10,17570.0,17490.0,17700.0,17470.0,107.3,0.47,-1.76,10,12,2015,3,4,0,0
14,15,2015-12-09,17490.0,17550.0,17760.0,17400.0,122.0,-0.43,0.47,9,12,2015,2,4,0,0
15,16,2015-12-08,17570.0,17700.0,17700.0,17490.0,113.75,-0.92,-0.43,8,12,2015,1,4,0,0
16,17,2015-12-07,17730.0,17840.0,17840.0,17630.0,99.7,-0.66,-0.92,7,12,2015,0,4,0,0
17,18,2015-12-04,17840.0,17490.0,17870.0,17490.0,137.6,2.12,-0.66,4,12,2015,4,4,1,0
18,19,2015-12-03,17470.0,17740.0,17780.0,17420.0,127.0,-1.42,2.12,3,12,2015,3,4,0,0
19,20,2015-12-02,17730.0,17890.0,17900.0,17710.0,102.9,-0.89,-1.42,2,12,2015,2,4,0,0
20,21,2015-12-01,17890.0,17710.0,17890.0,17710.0,103.9,0.95,-0.89,1,12,2015,1,4,0,0
21,22,2015-11-30,17710.0,17810.0,17840.0,17710.0,155.5,-0.44,0.95,30,11,2015,0,4,0,0
22,23,2015-11-27,17800.0,17810.0,17820.0,17740.0,46.8,-0.08,-0.44,27,11,2015,4,4,0,0
23,24,2015-11-25,17810.0,17820.0,17860.0,17810.0,82.56,0.01,-0.08,25,11,2015,2,4,0,0
24,25,2015-11-24,17810.0,17780.0,17860.0,17680.0,127.2,0.11,0.01,24,11,2015,1,4,0,0
25,26,2015-11-23,17800.0,17820.0,17870.0,17740.0,134.6,-0.17,0.11,23,11,2015,0,4,0,0
26,27,2015-11-20,17820.0,17730.0,17920.0,17730.0,153.1,0.51,-0.17,20,11,2015,4,4,0,0
27,28,2015-11-19,17730.0,17740.0,17780.0,17680.0,114.6,-0.02,0.51,19,11,2015,3,4,0,0
28,29,2015-11-18,17740.0,17490.0,17760.0,17490.0,106.8,1.42,-0.02,18,11,2015,2,4,1,0
29,30,2015-11-17,17490.0,17490.0,17600.0,17460.0,167.2,0.04,1.42,17,11,2015,1,4,0,0
30,31,2015-11-16,17490.0,17230.0,17490.0,17220.0,137.6,1.38,0.04,16,11,2015,0,4,1,0
31,32,2015-11-13,17250.0,17440.0,17440.0,17230.0,134.6,-1.16,1.38,13,11,2015,4,4,0,0
32,33,2015-11-12,17460.0,17700.0,17700.0,17440.0,113.7,-1.44,-1.16,12,11,2015,3,4,0,0
33,34,2015-11-11,17700.0,17780.0,17810.0,17700.0,95.25,-0.32,-1.44,11,11,2015,2,4,0,0
34,35,2015-11-10,17760.0,17730.0,17780.0,17660.0,108.6,0.16,-0.32,10,11,2015,1,4,0,0
35,36,2015-11-09,17730.0,17900.0,17900.0,17660.0,121.2,-1.0,0.16,9,11,2015,0,4,0,0
36,37,2015-11-06,17900.0,17860.0,17920.0,17780.0,107.44,0.26,-1.0,6,11,2015,4,4,0,0
37,38,2015-11-05,17860.0,17870.0,17940.0,17780.0,98.94,-0.02,0.26,5,11,2015,3,4,0,0
38,39,2015-11-04,17870.0,17940.0,17970.0,17820.0,99.9,-0.28,-0.02,4,11,2015,2,4,0,0
39,40,2015-11-03,17920.0,17820.0,17980.0,17800.0,92.3,0.5,-0.28,3,11,2015,1,4,0,0
40,41,2015-11-02,17820.0,17680.0,17840.0,17650.0,100.8,0.94,0.5,2,11,2015,0,4,0,0
41,42,2015-10-30,17660.0,17760.0,17800.0,17660.0,149.2,-0.52,0.94,30,10,2015,4,4,0,0
42,43,2015-10-29,17760.0,17780.0,17800.0,17680.0,90.3,-0.13,-0.52,29,10,2015,3,4,0,0
43,44,2015-10-28,17780.0,17580.0,17780.0,17550.0,115.6,1.13,-0.13,28,10,2015,2,4,1,0
44,45,2015-10-27,17580.0,17620.0,17630.0,17540.0,115.2,-0.24,1.13,27,10,2015,1,4,0,0
45,46,2015-10-26,17620.0,17650.0,17660.0,17600.0,116.7,-0.13,-0.24,26,10,2015,0,4,0,0
46,47,2015-10-23,17650.0,17520.0,17680.0,17520.0,158.1,0.9,-0.13,23,10,2015,4,4,0,0
47,48,2015-10-22,17490.0,17180.0,17500.0,17180.0,152.4,1.87,0.9,22,10,2015,3,4,1,0
48,49,2015-10-21,17170.0,17230.0,17310.0,17150.0,107.1,-0.28,1.87,21,10,2015,2,4,0,0
49,50,2015-10-20,17220.0,17230.0,17260.0,17150.0,106.7,-0.08,-0.28,20,10,2015,1,4,0,0
50,51,2015-10-19,17230.0,17220.0,17230.0,17140.0,118.44,0.08,-0.08,19,10,2015,0,4,0,0
51,52,2015-10-16,17220.0,17140.0,17220.0,17100.0,145.9,0.43,0.08,16,10,2015,4,4,0,0
52,53,2015-10-15,17140.0,16940.0,17150.0,16930.0,122.94,1.28,0.43,15,10,2015,3,4,1,0
53,54,2015-10-14,16930.0,17070.0,17100.0,16880.0,120.1,-0.92,1.28,14,10,2015,2,4,0,0
54,55,2015-10-13,17090.0,17120.0,17170.0,17040.0,99.4,-0.29,-0.92,13,10,2015,1,4,0,0
55,56,2015-10-12,17140.0,17090.0,17140.0,17070.0,72.5,0.28,-0.29,12,10,2015,0,4,0,0
56,57,2015-10-09,17090.0,17060.0,17100.0,17020.0,103.75,0.2,0.28,9,10,2015,4,4,0,0
57,58,2015-10-08,17060.0,16910.0,17090.0,16860.0,100.75,0.82,0.2,8,10,2015,3,4,0,0
58,59,2015-10-07,16910.0,16800.0,16960.0,16770.0,115.7,0.73,0.82,7,10,2015,2,4,0,0
59,60,2015-10-06,16780.0,16770.0,16860.0,16750.0,120.0,0.08,0.73,6,10,2015,1,4,0,0
60,61,2015-10-05,16780.0,16500.0,16800.0,16500.0,127.7,1.85,0.08,5,10,2015,0,4,1,0
61,62,2015-10-02,16480.0,16260.0,16480.0,16020.0,136.9,1.23,1.85,2,10,2015,4,4,1,0
62,63,2015-10-01,16270.0,16280.0,16350.0,16070.0,111.44,-0.08,1.23,1,10,2015,3,4,0,0
63,64,2015-09-30,16290.0,16056.0,16296.0,16056.0,145.8,1.47,-0.08,30,9,2015,2,3,1,0
64,65,2015-09-29,16050.0,16000.0,16120.0,15944.0,121.2,0.3,1.47,29,9,2015,1,3,0,0
65,66,2015-09-28,16000.0,16310.0,16310.0,15980.0,139.9,-1.92,0.3,28,9,2015,0,3,0,0
66,67,2015-09-25,16310.0,16210.0,16460.0,16210.0,130.8,0.7,-1.92,25,9,2015,4,3,0,0
67,68,2015-09-24,16200.0,16260.0,16260.0,16020.0,122.25,-0.48,0.7,24,9,2015,3,3,0,0
68,69,2015-09-23,16280.0,16340.0,16350.0,16210.0,86.0,-0.31,-0.48,23,9,2015,2,3,0,0
69,70,2015-09-22,16330.0,16480.0,16480.0,16220.0,119.0,-1.09,-0.31,22,9,2015,1,3,0,0
70,71,2015-09-21,16510.0,16400.0,16580.0,16380.0,90.75,0.77,-1.09,21,9,2015,0,3,0,0
71,72,2015-09-18,16380.0,16670.0,16670.0,16344.0,341.8,-1.74,0.77,18,9,2015,4,3,0,0
72,73,2015-09-17,16670.0,16740.0,16930.0,16640.0,129.6,-0.39,-1.74,17,9,2015,3,3,0,0
73,74,2015-09-16,16740.0,16590.0,16750.0,16590.0,99.6,0.84,-0.39,16,9,2015,2,3,0,0
74,75,2015-09-15,16590.0,16380.0,16640.0,16380.0,93.06,1.4,0.84,15,9,2015,1,3,1,0
75,76,2015-09-14,16370.0,16450.0,16450.0,16330.0,92.7,-0.38,1.4,14,9,2015,0,3,0,0
76,77,2015-09-11,16430.0,16330.0,16430.0,16250.0,104.6,0.63,-0.38,11,9,2015,4,3,0,0
77,78,2015-09-10,16330.0,16260.0,16450.0,16216.0,122.7,0.47,0.63,10,9,2015,3,3,0,0
78,79,2015-09-09,16260.0,16510.0,16670.0,16220.0,118.8,-1.45,0.47,9,9,2015,2,3,0,0
79,80,2015-09-08,16500.0,16110.0,16500.0,16110.0,123.9,2.42,-1.45,8,9,2015,1,3,1,0
80,81,2015-09-04,16104.0,16370.0,16370.0,16024.0,127.25,-1.66,2.42,4,9,2015,4,3,0,0
81,82,2015-09-03,16376.0,16370.0,16540.0,16320.0,109.75,0.14,-1.66,3,9,2015,3,3,0,0
82,83,2015-09-02,16350.0,16056.0,16350.0,16056.0,133.5,1.82,0.14,2,9,2015,2,3,1,0
83,84,2015-09-01,16056.0,16530.0,16530.0,15976.0,171.4,-2.84,1.82,1,9,2015,1,3,0,0
84,85,2015-08-31,16530.0,16640.0,16640.0,16450.0,141.5,-0.69,-2.84,31,8,2015,0,3,0,0
85,86,2015-08-28,16640.0,16660.0,16670.0,16530.0,131.8,-0.07,-0.69,28,8,2015,4,3,0,0
