DecisionTree,RandomForest,LR,XGBoost,SVM,LGB,LSTM,close_tomorrow
1.4319999999999997,1.43404,1.4404396073954813,1.4343160390853882,1.371301163659044,1.4323585019552625,1.4376574754714966,1.4369999999999998
1.4409999999999998,1.43517,1.4364027000345894,1.4347596168518066,1.3733330272598765,1.4336478724840296,1.4414606094360352,1.4409999999999998
1.4409999999999998,1.441805,1.4399236615057744,1.4359896183013916,1.3709827759141793,1.4370577519585297,1.4337776899337769,1.432
1.4409999999999998,1.4354200000000004,1.4311678766271783,1.4359896183013916,1.3710234122740708,1.4327156155864629,1.4340364933013916,1.4409999999999998
1.4319999999999997,1.43372,1.4407381820086311,1.4332735538482666,1.3729894114034857,1.428734212983861,1.4406877756118774,1.4509999999999998
1.4469999999999998,1.4475299999999987,1.4502785794560302,1.4374308586120605,1.3718522784302474,1.4370577519585297,1.4350528717041016,1.449
1.444,1.4427800000000002,1.4479740939228902,1.4405078887939453,1.3761766755930747,1.4391956853165222,1.4476686716079712,1.4509999999999998
1.443,1.4426099999999997,1.4504041265288212,1.4405078887939453,1.3770080815359202,1.4391956853165222,1.4491170644760132,1.45
1.44,1.4477649999999997,1.449655645237374,1.4365326166152954,1.375591817222446,1.4370577519585297,1.4422075748443604,1.4380000000000002
1.426,1.4338600000000001,1.437802568692295,1.433884859085083,1.3772018630282123,1.433639975105224,1.4500024318695068,1.4380000000000002
1.426,1.4325900000000003,1.4385676177516398,1.433884859085083,1.375921525875507,1.4329179695168677,1.4473483562469482,1.43
1.4369999999999998,1.43303,1.4300339277193468,1.433884859085083,1.3750042243349536,1.4329179695168677,1.445527195930481,1.41
1.4169999999999998,1.40843,1.4089005097508436,1.4121403694152832,1.3686927027109888,1.417915251476805,1.4323326349258423,1.409
1.4169999999999998,1.4081400000000002,1.407809200178193,1.4104152917861938,1.3636909521331546,1.4121168066880532,1.4227064847946167,1.414
1.425,1.4183500000000009,1.4151169406934607,1.4179625511169434,1.361538721197402,1.4171353045071011,1.4187843799591064,1.415
1.432,1.418590000000001,1.4141607987935658,1.4179625511169434,1.3600134597729299,1.4166299664832052,1.4169135093688965,1.4069999999999998
1.4,1.4051699999999994,1.4056534999379178,1.403226375579834,1.3615206696575735,1.4047622574259628,1.4215764999389648,1.402
